Country,Year,Expenditure,EmploymentRate_Females,EmploymentRate_Males,Graduates,BachelorRate,MasterRate
Austria,2015,5908.966666666667,74.9,76.1,44.7,13.07999992370605,10.85999965667725
Austria,2017,6414.566666666667,78.7,77.8,45.1,14.25,11.39999961853027
Austria,2018,6780.166666666667,76.8,77.7,44.8,14.7956076913385,11.8494881098652
Austria,2019,5888.099999999999,76.9,76.9,46.1,15.35999965667725,12.06999969482422
Austria,2020,6929.566666666667,77.1,77.5,49.0,15.9696028307325,12.4190471258178
Austria,2021,7579.333333333333,77.6,80.1,50.3,16.6050948264829,12.7670327496034
Belgium,2013,6441.833333333333,68.8,69.0,68.1,30.25,12.38000011444092
Belgium,2014,6451.366666666666,72.8,69.6,69.7,31.26000022888184,13.48999977111816
Belgium,2015,6495.166666666667,71.7,70.9,70.3,31.70999908447266,13.53999996185303
Belgium,2016,6760.766666666666,70.3,67.1,72.0,32.16999816894531,13.65999984741211
Belgium,2017,6951.400000000001,70.7,67.9,71.2,34.68999862670898,14.92000007629395
Belgium,2018,7213.400000000001,71.4,72.4,71.4,35.2702828263553,15.2636289113605
Belgium,2019,7506.166666666667,72.9,72.8,69.9,35.29999923706055,15.61999988555908
Belgium,2020,7815.900000000001,71.7,71.4,77.5,36.6534836708611,16.2467980116384
Belgium,2021,7905.733333333334,73.4,72.5,78.5,38.5315386438649,17.1400520473828
Bulgaria,2013,919.5333333333333,68.9,73.5,54.3,22.92000007629395,0.0
Bulgaria,2014,1062.9666666666667,69.6,74.2,52.2,24.05999946594238,16.5687783111549
Bulgaria,2015,1045.8333333333333,73.7,80.3,51.7,24.46999931335449,17.3585078427176
Bulgaria,2016,1038.8,71.0,76.5,49.5,24.6299991607666,17.4846920955228
Bulgaria,2018,1216.7333333333333,70.1,83.6,46.3,25.1136192434754,18.0976005843862
Bulgaria,2019,1336.5333333333335,78.0,86.4,45.0,25.1552091366664,18.1594407615795
Bulgaria,2020,1394.3,80.3,80.3,41.3,26.04999923706055,18.8079476724475
Bulgaria,2021,1488.4666666666665,78.0,80.6,42.9,26.2697570350821,18.5600145339108
Croatia,2016,643.8666666666667,64.6,62.9,56.5,16.057180180608,13.0411263508032
Croatia,2017,682.7333333333332,64.0,62.8,57.8,16.9888918884246,13.7325820638713
Croatia,2018,736.4333333333334,59.9,65.3,60.0,18.0253557388432,14.4759515110106
Croatia,2019,746.0,64.0,68.0,61.4,18.0067338301199,14.1803512475944
Croatia,2020,617.85,64.6,75.0,61.4,18.913670628549,14.6661885877035
Croatia,2021,782.1666666666666,69.3,73.9,61.9,18.9514047878406,15.0708837299591
Cyprus,2014,290.96666666666664,67.7,68.3,39.7,25.96999931335449,9.5
Cyprus,2015,312.3666666666667,68.6,74.1,40.3,25.54999923706055,10.32999992370605
Cyprus,2016,322.03333333333336,70.8,73.3,43.5,26.6200008392334,10.63000011444092
Cyprus,2017,381.8666666666666,71.5,73.0,45.0,27.1771401334924,10.9449029016227
Cyprus,2018,361.40000000000003,74.3,74.4,43.1,28.55999946594238,12.21000003814697
Cyprus,2019,386.6333333333334,74.6,85.0,47.2,28.8715544418397,12.7003475870988
Cyprus,2020,367.9,79.2,79.2,44.7,29.79999923706055,13.43000030517578
Cyprus,2021,408.9666666666667,80.2,81.6,56.4,31.7849752031884,14.0482593223206
Czechia,2013,20384.366666666665,65.8,73.6,56.6,4.42498065938131,2.97165739321287
Czechia,2014,19796.100000000002,64.0,72.7,55.6,18.82999992370605,14.75
Czechia,2015,19871.500000000004,65.4,70.8,54.4,19.34000015258789,15.03999996185303
Czechia,2016,16997.533333333333,64.1,74.3,53.9,20.07999992370605,15.8100004196167
Czechia,2017,17907.766666666666,69.7,77.7,51.9,20.72999954223633,16.18000030517578
Czechia,2018,24058.399999999998,70.9,78.1,50.9,21.0019190637801,16.2438162872532
Czechia,2019,25911.333333333332,66.6,75.5,49.3,20.90999984741211,16.0
Czechia,2020,34262.649999999994,61.9,76.3,49.6,21.3851673811778,16.3814150439169
Czechia,2021,26522.300000000003,64.5,77.6,50.4,22.8479955978814,17.7132244892854
Denmark,2013,13534.333333333334,76.8,77.6,74.2,0.678235472115144,0.0
Denmark,2014,13789.5,75.6,76.9,76.6,28.97999954223633,10.10000038146973
Denmark,2016,17838.666666666668,75.8,77.2,90.1,30.97999954223633,11.5
Denmark,2017,16769.499999999996,77.1,78.0,84.5,29.7281119169291,11.0141964204832
Denmark,2018,17168.533333333333,77.4,79.5,82.7,32.36000061035156,12.72999954223633
Denmark,2019,17521.9,79.5,79.0,83.6,31.1208860786063,12.3840711107072
Denmark,2020,26088.600000000002,78.3,78.3,82.7,33.09000015258789,13.47999954223633
Denmark,2021,28237.233333333337,81.6,80.0,86.8,32.45201906024,13.1783195295386
Estonia,2014,402.43333333333334,74.1,80.7,43.0,29.1377522911322,20.7745123013216
Estonia,2015,409.2,77.7,87.8,45.0,29.7758218878281,21.0461250902035
Finland,2015,3412.633333333333,76.6,83.0,54.4,23.03000068664551,11.27999973297119
Finland,2016,3671.5333333333333,78.1,83.4,53.9,25.4359483800168,12.4071801154385
Finland,2017,3596.0333333333333,81.1,84.4,53.6,24.34000015258789,11.90999984741211
Finland,2018,3646.2999999999997,82.1,86.6,54.7,27.8136771931862,13.7064403004017
Finland,2019,3704.6333333333337,81.9,86.4,56.4,25.94000053405762,12.69999980926514
Finland,2020,3851.433333333333,82.1,88.9,59.0,30.9471298520167,15.2984392421402
Finland,2021,3987.9666666666667,85.2,86.2,56.4,28.2076779567255,14.1994843337959
Germany,2015,38996.1,81.8,84.3,45.9,24.73999977111816,11.02999973297119
Germany,2016,39859.066666666666,81.6,83.1,45.7,25.57999992370605,11.51000022888184
Germany,2017,41136.26666666666,81.6,82.9,46.8,25.8552466017435,11.6356143689121
Germany,2018,43112.96666666667,82.6,84.6,46.5,25.14999961853027,11.19999980926514
Germany,2019,45706.299999999996,83.6,86.0,52.4,27.0112817257519,12.2291947338821
Germany,2020,46767.333333333336,80.3,83.4,49.1,28.35000038146973,12.47999954223633
Germany,2021,48737.966666666674,82.9,85.4,53.2,29.0407460609384,12.2709368355143
Greece,2014,1825.3999999999999,52.3,54.7,41.5,22.19000053405762,2.400000095367432
Greece,2015,2024.7666666666667,52.6,58.4,44.1,22.93000030517578,2.150000095367432
Greece,2017,1663.7,50.8,63.1,46.7,23.5572555635058,2.82107218114229
Greece,2018,1785.6333333333332,55.8,66.5,45.7,24.1726461592243,3.35388043296537
Greece,2019,1950.7666666666667,61.7,68.5,45.7,24.4034462500955,6.07135869903868
Hungary,2013,130076.59999999999,73.1,75.8,39.9,19.43000030517578,7.550000190734863
Hungary,2014,106901.2,72.0,81.3,40.9,19.89999961853027,8.479999542236328
Hungary,2015,104915.36666666668,72.7,83.3,37.9,20.67000007629395,8.899999618530273
Hungary,2017,144663.06666666668,73.5,85.8,36.5,20.7723314624609,8.8918467812975
Hungary,2018,158677.76666666666,77.9,84.8,36.7,21.7858906081459,10.096355193249
Hungary,2019,147164.99999999997,77.9,84.0,36.1,22.5712117411655,10.6177812089428
Iceland,2013,8264.266666666668,86.7,89.6,50.9,1.12614070286712,0.0
Iceland,2014,8695.199999999999,89.7,85.9,52.2,31.3127204414448,12.7220470881658
Iceland,2018,12542.733333333332,88.3,91.6,49.8,38.9894837476099,17.8011472275334
Iceland,2019,14195.266666666668,86.9,89.0,48.8,36.13999938964844,16.14999961853027
Iceland,2020,15142.999999999998,81.8,81.8,48.3,36.61999893188477,16.8700008392334
Iceland,2021,16726.366666666665,76.7,84.0,54.5,34.1569268492031,15.4466693910911
Ireland,2014,2080.2999999999997,77.8,77.1,75.8,30.8738169818589,9.19074021340391
Ireland,2016,2658.2,81.5,81.3,81.9,31.5917123267554,10.1446328863594
Ireland,2017,2697.6666666666665,83.0,83.8,89.2,31.15999984741211,11.38000011444092
Ireland,2018,2829.5333333333333,82.4,84.2,95.7,34.9246407001971,10.8323392148622
Ireland,2019,2898.4,83.4,86.2,94.8,35.1964337710582,10.9466256563224
Ireland,2020,2915.3333333333335,79.7,81.1,99.2,36.9319190416492,11.7628975084871
Ireland,2021,2750.9666666666667,83.8,83.0,102.2,37.7408877131549,13.0031869026469
Italy,2014,17706.13333333333,42.6,40.2,41.4,13.9848532032809,11.4863663547172
Italy,2015,15684.0,43.3,42.6,43.4,14.4994367688538,11.75578738936
Italy,2016,15489.866666666667,45.7,46.1,44.6,14.6699405580568,11.9785015979507
Italy,2017,15977.033333333333,47.5,45.9,49.3,15.5496872103285,12.3587025250878
Italy,2018,16416.933333333334,48.8,47.2,51.1,16.1499464031785,12.8271392726232
Italy,2019,16685.733333333334,50.4,46.3,53.7,16.4097285045951,12.9296922828922
Italy,2020,17148.233333333334,47.2,46.8,53.6,16.54999923706055,12.96000003814697
Italy,2021,18283.93333333333,51.6,48.0,56.8,16.2955207429662,12.4633495768936
Latvia,2013,409.43333333333334,77.1,86.9,53.3,27.69000053405762,0.0
Latvia,2014,420.5666666666666,75.4,87.3,48.6,26.6299991607666,10.76000022888184
Latvia,2015,464.7333333333333,77.2,89.8,48.0,27.70000076293945,11.60999965667725
Latvia,2016,337.40000000000003,84.0,84.0,46.2,29.11000061035156,11.60000038146973
Latvia,2017,358.6666666666667,80.6,85.5,44.7,29.2247144411691,11.6635528302742
Latvia,2018,429.1000000000001,85.0,87.6,47.8,30.03000068664551,14.60000038146973
Latvia,2019,497.26666666666665,86.5,91.4,46.5,30.94000053405762,17.03000068664551
Latvia,2020,498.7,75.8,80.6,46.3,32.7584526466603,19.689947791282
Latvia,2021,505.1666666666667,84.2,86.0,49.4,31.4416405510326,18.7911698940698
Lithuania,2013,723.5,81.9,86.4,82.0,26.38999938964844,0.0
Lithuania,2014,746.9333333333334,82.4,88.2,70.6,31.5,13.19999980926514
Lithuania,2015,696.4666666666666,81.8,89.9,68.8,33.09999847412109,14.01000022888184
Lithuania,2016,524.5333333333333,87.8,89.7,65.3,33.93999862670898,13.4399995803833
Lithuania,2017,527.8000000000001,88.0,87.6,63.1,34.54000091552734,13.35000038146973
Lithuania,2018,586.6666666666666,88.1,89.8,63.6,35.9517203726528,13.9226979027367
Lithuania,2019,627.6333333333333,87.5,89.4,60.8,37.3273225516796,14.1826778555899
Lithuania,2020,718.3666666666668,87.4,86.3,59.6,38.09999847412109,14.59000015258789
Lithuania,2021,724.3333333333334,87.0,89.0,58.1,40.1166545191792,14.7961226572616
Luxembourg,2014,236.80000000000004,77.5,70.6,18.2,32.6653523983588,19.0320332562308
Luxembourg,2015,260.53333333333336,76.6,79.0,15.9,30.550118896407,17.8360587638501
Luxembourg,2016,254.63333333333333,78.1,76.6,15.6,34.5298527888845,20.7080355202898
Luxembourg,2017,260.8333333333333,76.8,73.0,16.7,32.7315592876103,22.3889637807246
Luxembourg,2018,240.4,76.1,75.0,15.9,35.6957458759022,22.4093094378558
Luxembourg,2019,269.7333333333333,78.1,80.9,16.0,37.9993758551984,24.1995342919557
Luxembourg,2020,283.46666666666664,77.7,74.1,17.0,38.1812847132283,24.868826116955
Luxembourg,2021,314.3333333333333,74.3,78.4,18.6,41.7206810323815,27.7093696117284
Malta,2013,138.83333333333334,87.2,85.3,50.6,13.09000015258789,4.239999771118164
Malta,2014,144.06666666666666,86.7,85.2,53.1,13.46000003814697,4.21999979019165
Malta,2015,155.70000000000002,86.3,86.8,50.5,13.27999973297119,4.420000076293945
Malta,2016,158.66666666666666,85.7,87.5,50.2,13.48999977111816,4.519999980926514
Malta,2017,165.7,90.0,90.4,54.7,16.7203630770664,5.95855375078651
Malta,2018,182.0666666666667,90.0,91.7,47.2,18.42000007629395,6.639999866485596
Malta,2019,216.46666666666667,85.7,90.9,50.3,20.462172583433,8.44010105039223
Malta,2020,218.4333333333333,89.4,87.4,45.8,21.84000015258789,9.479999542236328
Malta,2021,230.4,86.0,89.1,50.7,22.5654574313324,9.51473476906144
Netherlands,2013,11270.833333333334,86.3,83.1,58.4,27.21999931335449,10.06999969482422
Netherlands,2014,11604.300000000001,83.4,84.7,59.6,28.01000022888184,10.5600004196167
Netherlands,2015,11984.800000000001,85.6,83.7,62.7,28.8700008392334,10.72999954223633
Netherlands,2016,12118.299999999997,85.3,82.8,63.3,29.40999984741211,11.02000045776367
Netherlands,2017,12589.699999999999,85.3,83.0,65.0,30.2854928334383,11.4341711936843
Netherlands,2018,13121.033333333333,85.6,83.5,66.0,31.09000015258789,11.72999954223633
Netherlands,2020,14172.9,85.1,84.7,66.1,34.77000045776367,13.14000034332275
Netherlands,2021,15652.066666666666,88.9,86.0,72.3,35.511966869788,14.8036070115472
Norway,2014,16943.666666666668,81.8,77.7,50.7,25.72999954223633,9.68000030517578
Norway,2016,20351.366666666665,82.7,77.5,51.7,27.32999992370605,10.48999977111816
Norway,2017,21401.899999999998,84.2,76.8,56.1,28.06999969482422,10.86999988555908
Norway,2018,22564.566666666666,83.4,77.4,57.2,30.0355527929332,11.9153954911369
Norway,2019,23313.96666666667,84.7,77.9,59.4,29.29000091552734,11.55000019073486
Norway,2020,23307.2,84.4,77.4,60.1,32.1195337173679,13.0361599697188
Norway,2021,24035.8,83.0,77.4,62.8,30.4537934294493,12.3043563090579
Poland,2013,12842.633333333331,68.0,78.1,75.5,22.6299991607666,17.92000007629395
Poland,2014,12971.366666666667,70.5,78.8,73.3,23.70000076293945,18.73999977111816
Poland,2015,14001.699999999999,73.4,79.0,70.3,24.2688183058948,19.1072281795279
Poland,2016,12320.666666666666,75.4,82.3,69.1,24.95000076293945,19.27000045776367
Poland,2017,13100.333333333334,76.8,85.1,75.3,25.8786210917776,20.1237224257879
Poland,2018,14036.6,78.7,85.4,66.4,26.4762529716292,20.7168445683563
Poland,2019,15838.0,80.6,87.0,65.1,27.2586543302357,21.2703380709769
Poland,2020,16577.066666666666,77.8,84.5,61.7,28.01000022888184,21.88999938964844
Poland,2021,17660.3,80.2,84.9,63.6,28.2374705508277,21.867584382417
Portugal,2013,2637.6666666666665,60.0,55.6,50.6,15.86999988555908,0.0
Portugal,2014,2620.9666666666667,62.5,60.5,49.8,17.47999954223633,13.52000045776367
Portugal,2015,2592.8666666666663,64.6,56.5,53.0,18.18000030517578,13.9399995803833
Portugal,2016,2385.1666666666665,66.2,61.3,54.0,19.0,14.30000019073486
Portugal,2017,2516.266666666667,69.6,64.8,59.0,19.25,14.22000026702881
Portugal,2018,2570.7333333333336,72.1,66.5,62.0,18.64999961853027,13.64000034332275
Portugal,2019,2687.4,72.0,67.3,63.4,20.71999931335449,15.10999965667725
Portugal,2020,2728.4333333333334,70.1,63.8,66.7,22.51000022888184,16.19000053405762
Portugal,2021,2834.5333333333333,68.1,66.3,69.8,25.0265225418249,17.8644371122505
Romania,2013,2637.2000000000003,67.4,70.4,49.0,0.0709681471875227,0.0
Romania,2014,2699.266666666667,65.1,69.2,45.5,13.01000022888184,9.270000457763672
Romania,2015,3208.0333333333333,74.1,78.2,42.7,14.0779940024087,10.8737935008873
Romania,2016,2992.3333333333335,74.2,80.4,40.8,14.2660110516369,11.2416692466993
Romania,2017,3217.9,80.1,81.8,41.5,14.3637039120305,11.2506692499192
Romania,2018,3688.2999999999997,80.1,82.8,45.0,14.5098527969748,11.264264598255
Romania,2019,4558.8,78.8,83.1,46.2,14.7860216528033,11.2912030640059
Romania,2020,4461.900000000001,78.6,81.9,50.2,15.1375657893669,11.4006923626177
Romania,2021,4684.966666666666,74.9,77.4,50.7,13.977129198251,9.84996651698842
Serbia,2015,22631.233333333334,51.2,53.0,41.4,13.57999992370605,1.870000004768372
Serbia,2017,28451.86666666667,56.3,63.9,42.5,14.89999961853027,2.180000066757202
Slovakia,2016,1053.8999999999999,59.5,67.8,61.5,19.63999938964844,17.6299991607666
Slovakia,2018,1020.5333333333333,57.0,68.7,52.9,21.88999938964844,19.36000061035156
Slovakia,2019,1073.6000000000001,60.6,72.1,50.1,22.86000061035156,20.31999969482422
Slovakia,2020,1163.9333333333334,61.5,73.3,48.9,23.6204921916894,21.0632265437499
Slovakia,2021,1295.0333333333333,62.3,70.2,51.5,24.5144330902146,21.6294944940466
Slovenia,2014,464.8333333333333,62.5,67.4,56.4,18.21999931335449,13.27000045776367
Slovenia,2015,449.1333333333334,65.6,73.2,59.1,18.80999946594238,14.4399995803833
Slovenia,2018,592.0333333333333,73.8,82.1,62.7,20.6114621804863,15.3773505225089
Slovenia,2019,633.6666666666666,77.3,84.3,62.0,21.51000022888184,16.23999977111816
Slovenia,2020,685.1,79.9,80.4,58.8,23.6385958157252,17.5930794406238
Slovenia,2021,720.8333333333334,73.8,75.9,63.0,26.5943375572734,18.0918120546488
Spain,2013,14090.066666666666,56.5,55.9,55.9,0.56847159773396,0.0
Spain,2014,14107.9,59.5,58.1,64.3,20.37528005231,12.2062628165736
Spain,2015,14601.766666666668,61.6,61.2,66.4,20.4723043486601,12.34858930056
Spain,2016,14634.6,61.2,62.8,68.1,20.94000053405762,12.53999996185303
Spain,2017,15293.166666666666,65.9,66.1,69.7,21.428261014924,12.8328408249391
Spain,2018,16665.2,66.1,68.8,72.7,21.94000053405762,12.92000007629395
Spain,2019,17459.133333333335,65.4,68.7,72.2,23.0202729798723,13.7838439971638
Spain,2020,17693.933333333334,61.6,64.8,75.8,23.57999992370605,14.1899995803833
Spain,2021,18920.0,65.6,66.3,80.8,24.6002033358869,14.7059315776689
Sweden,2013,25599.13333333333,75.1,74.3,37.6,22.04000091552734,10.38000011444092
Sweden,2014,26490.899999999998,76.2,75.0,37.7,22.54000091552734,10.63000011444092
Sweden,2015,26986.233333333334,77.8,75.8,37.4,23.0,10.86999988555908
Sweden,2016,30428.399999999998,78.3,76.5,38.2,23.47999954223633,11.11999988555908
Sweden,2017,30882.666666666668,78.8,77.5,36.6,23.94000053405762,11.31999969482422
Sweden,2018,31889.766666666663,79.2,76.6,37.3,30.993706917326,14.7077613199753
Sweden,2019,33110.8,77.5,76.9,38.2,25.07999992370605,11.85000038146973
Sweden,2020,33907.0,78.2,75.3,41.9,32.5396300918696,15.2280598735839
Sweden,2021,35730.0,80.3,76.8,44.4,32.6667123783444,15.6118558766094
Türkiye,2014,24831.833333333332,56.2,71.6,47.2,9.70770785257776,1.639999985694885
Türkiye,2015,26130.7,55.3,74.9,48.9,10.5960102503016,1.759999990463257
Türkiye,2016,31968.13333333333,54.6,72.8,48.3,11.4939591257546,1.789999961853027
Türkiye,2017,31385.63333333333,54.2,73.4,48.3,12.0233484978605,2.259999990463257
Türkiye,2018,35044.63333333333,55.5,72.7,50.6,12.4488387707495,1.84647400831037
Türkiye,2019,36562.76666666666,54.4,70.4,52.7,13.2090661192536,2.579999923706055
Türkiye,2020,41690.566666666666,49.5,67.3,61.2,14.2070664288443,2.28426168407738
Türkiye,2021,51101.73333333334,52.9,71.4,64.7,20.4976113118032,14.8661879905021
United Kingdom,2014,38108.0,81.9,83.4,67.7,29.32999992370605,8.779999732971191
United Kingdom,2015,42904.333333333336,83.3,83.9,64.6,25.124318334786,10.2688230870273
